曜日,方向,駅名,発車時刻
土日祝,栄町方面,福住,13:50
土日祝,栄町方面,福住,13:58
土日祝,栄町方面,福住,14:05
土日祝,栄町方面,福住,14:13
土日祝,栄町方面,福住,14:20
土日祝,栄町方面,福住,14:28
土日祝,栄町方面,福住,14:35
土日祝,栄町方面,福住,14:43
土日祝,栄町方面,福住,14:50
土日祝,栄町方面,福住,14:58
土日祝,栄町方面,福住,15:05
土日祝,栄町方面,福住,15:13
土日祝,栄町方面,福住,15:20
土日祝,栄町方面,福住,15:28
土日祝,栄町方面,福住,15:35
土日祝,栄町方面,福住,15:43
土日祝,栄町方面,福住,15:50
土日祝,栄町方面,福住,15:58
土日祝,栄町方面,福住,16:05
土日祝,栄町方面,福住,16:13
土日祝,栄町方面,福住,16:20
土日祝,栄町方面,福住,16:28
土日祝,栄町方面,福住,16:35
土日祝,栄町方面,福住,16:43
土日祝,栄町方面,福住,16:50
土日祝,栄町方面,福住,16:58
土日祝,栄町方面,福住,17:05
土日祝,栄町方面,福住,17:13
土日祝,栄町方面,福住,17:20
土日祝,栄町方面,福住,17:28
土日祝,栄町方面,福住,17:35
土日祝,栄町方面,福住,17:43
土日祝,栄町方面,福住,17:50
土日祝,栄町方面,福住,17:58
土日祝,栄町方面,福住,18:05
土日祝,栄町方面,福住,18:13
土日祝,栄町方面,福住,18:20
土日祝,栄町方面,福住,18:28
土日祝,栄町方面,福住,18:35
土日祝,栄町方面,福住,18:43
土日祝,栄町方面,福住,18:50
土日祝,栄町方面,福住,18:58
土日祝,栄町方面,福住,19:05
土日祝,栄町方面,福住,19:13
土日祝,栄町方面,福住,19:21
土日祝,栄町方面,福住,19:29
土日祝,栄町方面,福住,19:37
土日祝,栄町方面,福住,19:45
土日祝,栄町方面,福住,19:53
土日祝,栄町方面,福住,20:01
土日祝,栄町方面,福住,20:09
土日祝,栄町方面,福住,20:17
土日祝,栄町方面,福住,20:25
土日祝,栄町方面,福住,20:33
土日祝,栄町方面,福住,20:41
土日祝,栄町方面,福住,20:49
土日祝,栄町方面,福住,20:57
土日祝,栄町方面,福住,21:05
土日祝,栄町方面,福住,21:13
土日祝,栄町方面,福住,21:21
土日祝,栄町方面,福住,21:29
土日祝,栄町方面,福住,21:37
土日祝,栄町方面,福住,21:45
土日祝,栄町方面,福住,21:53
土日祝,栄町方面,福住,22:02
土日祝,栄町方面,福住,22:11
土日祝,栄町方面,福住,22:20
土日祝,栄町方面,福住,22:30
土日祝,栄町方面,福住,22:40
土日祝,栄町方面,福住,22:50
土日祝,栄町方面,福住,23:00
土日祝,栄町方面,福住,23:10
土日祝,栄町方面,福住,23:20
土日祝,栄町方面,福住,23:30
土日祝,栄町方面,福住,23:40
土日祝,栄町方面,福住,23:50
土日祝,栄町方面,福住,00:00
